City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,saldanha,64,PT,1543352832,91,41.42,-6.55,38.52,4.52
1,lufilufi,12,WS,1543352834,100,-13.87,-171.6,83.88,9.33
2,atuona,0,PF,1543352834,100,-9.8,-139.03,80.37,14.14
3,albany,90,US,1543352280,85,42.65,-73.75,39.02,8.05
4,tasiilaq,90,GL,1543348200,73,65.61,-37.64,26.6,12.75
5,georgetown,75,GY,1543348800,94,6.8,-58.16,78.8,13.87
6,chokurdakh,48,RU,1543352836,47,70.62,147.9,-15.31,2.95
7,anadyr,40,RU,1543350600,75,64.73,177.51,-13.01,13.42
8,upernavik,20,GL,1543352836,100,72.79,-56.15,15.57,6.2
9,lebu,12,ET,1543348800,54,8.96,38.73,55.4,9.17
10,rikitea,88,PF,1543352838,100,-23.12,-134.97,75.15,2.39
11,mahebourg,75,MU,1543348800,100,-20.41,57.7,71.6,9.17
12,derzhavinsk,88,KZ,1543352838,92,51.1,66.31,24.75,13.47
13,grindavik,75,IS,1543350600,69,63.84,-22.43,37.4,16.11
14,acapulco,75,MX,1543348080,58,16.86,-99.88,86.0,5.82
15,clyde river,90,CA,1543348800,91,70.47,-68.59,1.4,13.87
16,torbay,90,CA,1543348800,100,47.66,-52.73,32.0,10.29
17,louga,0,SN,1543348800,47,15.62,-16.22,75.2,6.93
18,ulladulla,90,AU,1543350600,100,-35.36,150.48,62.6,13.87
19,kahului,1,US,1543350120,52,20.89,-156.47,84.02,14.99
20,ushuaia,40,AR,1543348800,50,-54.81,-68.31,53.6,41.38
21,half moon bay,90,US,1543352160,72,37.46,-122.43,60.98,8.05
22,port alfred,100,ZA,1543352841,100,-33.59,26.89,59.4,19.06
23,bluff,0,AU,1543352917,61,-23.58,149.07,74.88,4.41
24,barbosa ferraz,56,BR,1543352842,59,-24.03,-52.01,82.53,6.76
25,monki,76,PL,1543352843,86,53.41,22.8,25.83,4.41
26,namtsy,40,RU,1543350600,66,62.72,129.66,-32.81,4.47
27,wilmington,90,US,1543352040,54,39.75,-75.55,42.08,13.87
28,cape town,40,ZA,1543348800,82,-33.93,18.42,57.2,17.22
29,agartala,0,BD,1543352844,88,23.83,91.28,59.67,2.51
30,jamestown,80,AU,1543352845,100,-33.21,138.6,51.61,9.89
31,airai,56,TL,1543352845,94,-8.93,125.41,69.57,1.61
32,novikovo,68,UA,1543352845,100,45.05,34.56,41.62,4.29
33,bredasdorp,76,ZA,1543348800,87,-34.53,20.04,55.4,4.7
34,labuhan,44,ID,1543352846,98,-2.54,115.51,72.36,2.51
35,dikson,44,RU,1543352847,100,73.51,80.55,-4.01,7.65
36,keti bandar,0,PK,1543352847,100,24.14,67.45,76.27,8.1
37,hobart,75,AU,1543350600,87,-42.88,147.33,55.4,4.7
38,manokwari,0,ID,1543352847,100,-0.87,134.08,80.32,2.17
39,ribeira grande,75,PT,1543350600,93,38.52,-28.7,62.6,12.75
40,maniitsoq,24,GL,1543352848,95,65.42,-52.9,24.16,8.1
41,ilulissat,20,GL,1543348200,66,69.22,-51.1,10.4,3.36
42,abonnema,75,NG,1543348800,94,4.71,6.79,75.2,1.72
43,geraldton,90,CA,1543348800,78,49.72,-86.95,14.0,8.05
44,carnarvon,0,ZA,1543352849,35,-30.97,22.13,54.54,17.27
45,qaanaaq,64,GL,1543352850,100,77.48,-69.36,-3.34,10.45
46,mar del plata,8,AR,1543352647,45,-46.43,-67.52,68.94,10.67
47,punta arenas,0,CL,1543348800,38,-53.16,-70.91,59.0,20.8
48,bethel,90,US,1543350840,100,60.79,-161.76,23.0,8.05
49,zhongshu,24,CN,1543352852,78,24.52,103.77,32.62,1.83
50,kapaa,90,US,1543349580,71,22.08,-159.32,78.98,17.22
51,ust-tsilma,76,RU,1543352852,85,65.44,52.15,0.27,2.39
52,vostok,64,RU,1543352853,55,46.45,135.83,13.32,7.99
53,nikolskoye,90,RU,1543350600,85,59.7,30.79,24.8,8.95
54,iqaluit,90,CA,1543348800,100,63.75,-68.52,21.2,10.29
55,harper,1,US,1543350900,25,30.3,-99.24,62.96,12.75
56,turukhansk,0,RU,1543352855,45,65.8,87.96,-28.27,2.95
57,coihaique,0,CL,1543348800,40,-45.58,-72.07,71.6,6.93
58,norman wells,75,CA,1543351680,84,65.28,-126.83,-2.21,4.7
59,puqi,12,CN,1543352856,100,29.72,113.88,47.47,2.95
60,nome,1,US,1543352100,30,30.04,-94.42,62.42,4.7
61,bezhanitsy,0,RU,1543352856,88,56.97,29.88,21.01,9.89
62,mataura,0,NZ,1543352857,69,-46.19,168.86,60.52,13.24
63,lakatoro,0,VU,1543352858,87,-16.11,167.42,83.47,4.29
64,victoria,75,BN,1543350600,88,5.28,115.24,78.8,2.24
65,booue,24,GA,1543352859,96,-0.09,11.94,73.84,2.17
66,hambantota,80,LK,1543352859,100,6.12,81.12,78.16,10.89
67,avarua,75,CK,1543348800,69,-21.21,-159.78,80.6,9.17
68,saint george,75,GR,1543348200,100,39.45,22.34,57.2,3.62
69,cabo san lucas,75,MX,1543351500,61,22.89,-109.91,82.4,13.87
70,fortuna,0,ES,1543350600,47,38.18,-1.13,57.2,11.41
71,new norfolk,75,AU,1543350600,87,-42.78,147.06,55.4,4.7
72,hithadhoo,20,MV,1543352861,100,-0.6,73.08,83.74,1.39
73,llanes,92,ES,1543352862,86,43.42,-4.75,37.21,2.17
74,petauke,80,ZM,1543352862,70,-14.25,31.33,75.06,5.08
75,sibolga,12,ID,1543352862,100,1.74,98.78,67.81,2.06
76,saint anthony,90,US,1543352160,40,43.97,-111.68,37.94,5.82
77,markivka,92,UA,1543352863,96,49.52,39.57,26.41,10.45
78,gouyave,48,GD,1543352863,100,12.16,-61.73,81.72,17.49
79,bonavista,0,CA,1543352865,100,48.65,-53.11,34.65,12.46
80,inta,68,RU,1543352865,73,66.04,60.13,0.49,2.51
81,khovu-aksy,0,RU,1543352865,50,51.13,93.72,-12.61,2.62
82,la ronge,90,CA,1543348800,78,55.1,-105.3,12.2,11.41
83,butaritari,0,KI,1543352866,100,3.07,172.79,84.19,11.34
84,busselton,8,AU,1543352866,100,-33.64,115.35,54.45,10.22
85,tuktoyaktuk,90,CA,1543350240,92,69.44,-133.03,14.0,6.93
86,hermanus,92,ZA,1543352867,98,-34.42,19.24,51.57,3.96
87,forestville,90,CA,1543349880,93,48.74,-69.09,32.0,24.16
88,obigarm,80,TJ,1543352867,88,38.72,69.71,23.04,1.05
89,fonte boa,48,BR,1543352868,95,-2.51,-66.09,79.38,3.29
90,merauke,32,ID,1543352868,98,-8.49,140.4,79.96,5.86
91,khatanga,56,RU,1543352868,38,71.98,102.47,-24.71,3.74
92,saint-philippe,90,CA,1543351560,96,45.36,-73.48,33.8,8.05
93,salalah,20,OM,1543348200,83,17.01,54.1,80.6,2.24
94,namibe,0,AO,1543352869,100,-15.19,12.15,71.64,11.68
95,mayo,90,CA,1543348800,66,63.59,-135.9,32.0,2.24
96,kirkwood,20,ZA,1543348800,76,-33.4,25.44,55.4,9.17
97,praia da vitoria,75,PT,1543348800,88,38.73,-27.07,64.4,30.36
98,cap malheureux,75,MU,1543348800,100,-19.98,57.61,71.6,9.17
99,werda,64,DE,1543351800,86,50.44,12.3,28.4,1.12
100,sanarate,40,GT,1543352400,50,14.79,-90.2,77.0,13.87
101,wanning,75,AT,1543351800,93,48.64,13.53,32.0,2.24
102,faya,0,SA,1543348800,71,18.39,42.45,60.8,4.7
103,nuuk,20,GL,1543348200,73,64.17,-51.74,24.8,8.05
104,belaya gora,64,RU,1543352873,62,68.54,146.19,-21.07,3.74
105,puerto ayora,40,EC,1543348800,54,-0.74,-90.35,84.2,16.11
106,pangnirtung,75,CA,1543348800,85,66.15,-65.72,19.4,2.24
107,dunedin,76,NZ,1543352707,98,-45.87,170.5,52.11,6.87
108,provideniya,75,RU,1543350600,67,64.42,-173.23,17.6,15.66
109,myre,0,SE,1543351800,85,62.25,17.37,12.2,4.7
110,tocopilla,8,CL,1543352875,85,-22.09,-70.2,65.92,5.08
111,homer,90,US,1543350900,95,59.64,-151.54,42.98,12.12
112,kamenka,56,RU,1543352875,77,53.19,44.05,10.8,7.43
113,makakilo city,75,US,1543349640,94,21.35,-158.09,80.06,4.7
114,cotoca,75,BO,1543348800,55,-17.75,-63.0,89.6,6.93
115,cherskiy,68,RU,1543352877,68,68.75,161.3,-22.87,5.41
116,pacific grove,75,US,1543352100,69,36.62,-121.92,60.98,3.36
117,vila velha,0,BR,1543348800,66,-3.71,-38.6,84.2,11.41
118,yellowknife,90,CA,1543348800,85,62.45,-114.38,23.0,19.46
119,itarema,56,BR,1543352878,60,-2.92,-39.92,85.23,17.49
120,opunake,92,NZ,1543352878,99,-39.45,173.86,60.34,15.82
121,barrow,92,AR,1543352879,69,-38.31,-60.23,69.48,9.22
122,vaini,0,IN,1543352879,65,15.34,74.49,66.06,4.85
123,juigalpa,20,NI,1543348800,55,12.1,-85.37,89.6,4.7
124,xixiang,40,CN,1543350600,93,22.58,113.87,66.2,2.24
125,port lincoln,80,AU,1543352880,97,-34.72,135.86,58.05,7.99
126,hovd,0,NO,1543351800,92,63.83,10.7,30.2,5.82
127,campoverde,40,IT,1543351800,66,41.54,12.73,55.4,10.29
128,bahia blanca,92,AR,1543352881,73,-38.72,-62.27,71.19,2.73
129,vestmannaeyjar,36,IS,1543352881,99,63.44,-20.27,39.24,18.95
130,coahuayana,80,MX,1543352881,42,18.62,-100.35,82.08,3.06
131,college,1,US,1543348680,89,64.86,-147.8,5.36,2.62
132,saskylakh,56,RU,1543352882,64,71.97,114.09,-21.83,3.18
133,vardo,90,US,1543352100,56,39.62,-77.74,39.2,16.11
134,robertsport,24,LR,1543352883,100,6.75,-11.37,82.84,9.89
135,port hedland,12,AU,1543350600,94,-20.31,118.58,71.6,6.93
136,onguday,44,RU,1543352883,66,50.75,86.14,-0.59,1.95
137,lumphat,48,KH,1543352959,98,13.5,106.97,71.01,2.17
138,port blair,32,IN,1543352884,95,11.67,92.75,85.41,13.02
139,thompson,75,CA,1543348800,65,55.74,-97.86,5.0,4.7
140,east london,92,ZA,1543352832,100,-33.02,27.91,64.84,30.58
141,mukhen,68,RU,1543352887,63,48.19,136.14,15.16,7.65
142,petropavlovsk-kamchatskiy,56,RU,1543350600,66,53.05,158.65,10.4,6.71
143,itinga,68,BR,1543352887,70,-16.61,-41.77,73.98,11.56
144,los lunas,1,US,1543351680,17,34.81,-106.76,51.8,5.82
145,lagoa,0,PT,1543350600,87,37.14,-8.45,51.8,5.82
146,porto novo,20,BR,1543348800,69,-23.68,-45.44,73.4,8.05
147,oktyabrskiy,40,RU,1543350600,92,55.61,37.97,24.8,2.24
148,mbanza-ngungu,0,CD,1543352890,93,-5.25,14.87,69.75,3.18
149,beian,20,NO,1543351800,86,63.66,9.57,30.2,12.75
150,seredka,80,RU,1543352890,100,58.06,38.14,24.75,3.4
151,hilo,1,US,1543348380,62,19.71,-155.08,78.98,5.82
152,kodiak,1,US,1543352100,29,39.95,-94.76,23.0,5.82
153,mabaruma,80,GY,1543352891,87,8.2,-59.78,80.41,6.31
154,trapani,75,IT,1543351800,72,38.02,12.54,59.0,17.22
155,namwala,88,ZM,1543352891,99,-15.75,26.45,64.44,5.08
156,katsuura,88,JP,1543352892,99,33.93,134.5,54.0,2.62
157,smidovich,8,RU,1543352892,59,48.6,133.81,11.02,7.65
158,kaseda,68,JP,1543352598,100,31.42,130.32,64.35,9.66
159,rognan,75,NO,1543351800,80,67.1,15.4,39.2,24.16
160,ponta do sol,36,BR,1543352893,53,-20.63,-46.0,77.4,6.2
161,kaitangata,76,NZ,1543352893,88,-46.28,169.85,56.02,18.72
162,omsukchan,32,RU,1543352893,76,62.53,155.8,-39.29,2.62
163,ballina,80,IE,1543352894,100,54.11,-9.15,42.93,14.58
164,codrington,12,AU,1543348800,83,-28.95,153.24,75.2,6.93
165,smoky lake,68,CA,1543352895,95,54.11,-112.47,24.03,5.3
166,sur,0,OM,1543352895,100,22.57,59.53,74.92,10.33
167,tiksi,32,RU,1543352895,65,71.64,128.87,-22.15,6.64
168,cairo,0,EG,1543350600,63,30.05,31.24,66.2,4.7
169,vila franca do campo,75,PT,1543350600,93,37.72,-25.43,66.2,21.92
170,biak,48,ID,1543352898,99,-0.91,122.88,79.06,1.72
171,nanortalik,32,GL,1543352898,84,60.14,-45.24,29.97,4.74
172,nakamura,20,JP,1543348800,76,35.17,136.87,53.6,10.29
173,ayan,76,TR,1543352898,89,40.67,33.6,43.96,4.63
174,waikuku,92,NZ,1543352400,93,-43.29,172.68,55.4,5.82
175,beni suef,0,EG,1543352899,77,29.07,31.1,51.84,2.39
176,imeni poliny osipenko,76,RU,1543352900,74,52.42,136.49,21.19,15.37
177,srednekolymsk,56,RU,1543352900,80,67.46,153.71,-18.28,2.95
178,tukums,75,LV,1543350000,100,56.97,23.17,23.0,3.36
179,panaba,76,MX,1543352901,85,21.28,-88.27,74.29,10.22
180,kaiyuan,0,CN,1543352901,45,42.54,124.04,11.07,5.64
181,talnakh,44,RU,1543352901,65,69.49,88.39,-14.54,3.29
182,laguna,5,MX,1543351380,28,27.52,-110.01,84.2,6.93
183,meulaboh,8,ID,1543352902,100,4.14,96.13,78.03,4.41
184,fort-shevchenko,36,KZ,1543352902,100,44.51,50.26,45.94,20.85
185,sungaipenuh,92,ID,1543352903,98,-2.08,101.38,67.81,0.6
186,anloga,20,GH,1543348800,74,5.79,0.9,82.4,3.36
187,san quintin,0,PH,1543352903,84,17.54,120.52,65.74,2.62
188,whitecourt,90,CA,1543348800,100,54.14,-115.68,19.4,6.93
189,russell,44,AR,1543352904,91,-33.01,-68.8,62.73,2.39
190,ferme-neuve,92,CA,1543352905,83,46.7,-75.45,33.07,5.41
191,roebourne,48,AU,1543352905,38,-20.77,117.15,71.14,8.77
192,mangochi,12,MW,1543352905,87,-14.48,35.26,69.48,2.39
193,narsaq,0,GL,1543352905,56,60.91,-46.05,1.71,4.41
194,khapa,12,IN,1543350600,67,21.42,78.98,62.6,2.62
195,arraial do cabo,20,BR,1543348800,73,-22.97,-42.02,75.2,9.17
196,esperance,20,TT,1543348800,74,10.24,-61.45,84.2,13.87
197,praya,40,ID,1543350600,100,-8.71,116.27,75.2,4.7
198,castro,0,CL,1543348800,63,-42.48,-73.76,62.6,9.17
199,angoche,0,MZ,1543352984,99,-16.23,39.91,81.9,14.81
200,nueva imperial,0,CL,1543348800,63,-38.75,-72.95,66.2,11.41
201,hobyo,92,SO,1543352909,92,5.35,48.53,78.84,10.22
202,am timan,0,TD,1543352909,41,11.04,20.28,67.09,4.18
203,ampanihy,12,MG,1543352910,79,-24.69,44.75,71.41,5.64
204,show low,1,US,1543350900,10,34.25,-110.03,59.0,8.05
205,tura,0,IN,1543352911,85,25.52,90.21,56.34,2.39
206,tsevie,20,TG,1543348800,74,6.43,1.21,82.4,3.36
207,high level,80,CA,1543352911,96,58.52,-117.13,29.07,6.53
208,paamiut,0,GL,1543352912,98,61.99,-49.67,32.4,7.65
209,yaan,8,NG,1543352912,52,7.38,8.57,80.77,3.51
210,maltahohe,12,NA,1543352914,37,-24.83,16.98,59.89,7.65
211,ondjiva,36,AO,1543352915,54,-17.07,15.73,75.82,5.97
212,kabwe,80,ZM,1543352916,97,-14.44,28.44,65.11,3.51
213,arlit,68,NE,1543352916,39,18.74,7.39,61.56,3.29
214,utete,76,TZ,1543352916,89,-7.99,38.76,76.77,2.84
215,pisco,0,PE,1543348800,30,-13.71,-76.2,71.6,14.99
216,kulykivka,48,UA,1543352917,81,51.37,31.65,12.01,3.62
217,kulu,36,CD,1543352917,71,3.47,23.69,77.85,2.62
218,karratha,48,AU,1543352918,38,-20.74,116.85,71.14,8.77
219,nouadhibou,0,MR,1543348800,68,20.93,-17.03,69.8,11.41
220,sinnamary,92,GF,1543352918,100,5.38,-52.96,76.86,15.82
221,tilichiki,12,RU,1543352919,92,60.47,166.1,-28.9,3.51
222,beysehir,64,TR,1543352919,94,37.68,31.72,47.92,13.35
223,sampit,56,ID,1543352920,98,-2.54,112.95,74.07,3.29
224,vuktyl,76,RU,1543352920,65,63.86,57.31,2.61,3.4
225,prokuplje,90,RS,1543350600,93,43.23,21.59,42.8,16.11
226,te anau,0,NZ,1543352921,63,-45.41,167.72,59.71,3.62
227,longyearbyen,40,NO,1543351800,66,78.22,15.63,15.8,2.39
228,nusaybin,90,TR,1543348800,87,37.08,41.21,51.8,10.29
229,jimo,0,CN,1543348800,65,36.39,120.46,46.4,2.24
230,hami,76,CN,1543352922,66,42.84,93.51,18.27,2.73
231,ajjampur,0,IN,1543352922,87,13.73,76.01,55.84,3.74
232,port macquarie,75,AU,1543350600,78,-31.43,152.91,75.2,10.29
233,mbini,64,GQ,1543352923,99,1.58,9.62,79.87,3.74
234,puerto baquerizo moreno,75,EC,1543348800,69,-0.9,-89.6,78.8,16.11
235,taoudenni,88,ML,1543352924,32,22.68,-3.98,66.51,10.45
236,aklavik,75,CA,1543350480,84,68.22,-135.01,5.0,4.7
237,nagykoros,90,HU,1543351500,95,47.03,19.78,33.8,13.87
238,hameenlinna,90,FI,1543351800,92,61.0,24.46,21.2,2.24
239,port moresby,40,PG,1543348800,88,-9.47,147.16,78.8,3.36
240,lompoc,75,US,1543350900,77,34.64,-120.46,68.0,13.87
241,los llanos de aridane,75,ES,1543350600,77,28.66,-17.92,68.0,4.7
242,darhan,24,MN,1543352926,45,49.49,105.92,-9.19,3.29
243,agapovka,90,RU,1543350600,79,53.3,59.13,19.4,4.47
244,takoradi,8,GH,1543352927,100,4.89,-1.75,82.12,5.97
245,sorland,75,NO,1543351800,86,67.67,12.69,37.4,6.93
246,lata,80,IN,1543352927,75,30.78,78.62,41.94,1.72
247,chuy,32,UY,1543352928,72,-33.69,-53.46,69.93,22.19
248,pesochenskiy,68,RU,1543348800,85,54.17,36.11,23.0,6.71
249,majene,92,ID,1543352928,100,-3.54,118.97,82.17,0.94
250,veraval,92,FR,1543350600,100,49.65,0.71,50.0,20.8
251,waipawa,92,NZ,1543352929,100,-39.94,176.59,57.64,7.2
252,chipinge,76,ZW,1543352929,72,-20.19,32.62,76.05,4.29
253,sideropolis,76,BR,1543352929,87,-28.6,-49.42,70.47,15.26
254,gat,0,SN,1543350600,60,14.69,-16.54,73.4,17.22
255,leningradskiy,76,RU,1543352930,96,69.38,178.42,9.94,21.74
256,severo-kurilsk,92,RU,1543352930,97,50.68,156.12,39.91,19.17
257,ypsonas,20,CY,1543350600,82,34.69,32.96,68.0,9.17
258,fairbanks,1,US,1543348680,89,64.84,-147.72,5.36,2.62
259,lavrentiya,88,RU,1543352931,100,65.58,-170.99,25.29,21.85
260,ambilobe,0,MG,1543352931,81,-13.19,49.05,72.76,5.19
261,allanridge,88,ZA,1543352932,95,-27.75,26.64,61.69,7.09
262,krasnooktyabrskiy,75,RU,1543350600,87,44.93,38.37,55.4,13.42
263,peniche,0,PT,1543350600,93,39.36,-9.38,50.0,1.12
264,morondava,8,MG,1543352933,80,-20.3,44.28,79.47,6.42
265,dingle,44,PH,1543352933,88,11.0,122.67,76.77,11.68
266,mareeba,0,AU,1543350600,62,-16.99,145.42,84.2,5.82
267,hofn,92,IS,1543352934,100,64.25,-15.21,39.33,17.16
